01:24:59 START 5 batches, 120 plants, model=qwen/qwen3.8-27b, notink=True, maxtok=8000
05:07:24 batch 06 [22/24] Citrus medica: OK 174s id=citrus_medica
05:15:43 batch 06 [23/24] Mescaline molecule: FAILED (parse: Expecting property name enclosed in double quotes: line 33 column 5 (char 1593))
05:21:00 batch 06 [24/24] Cylindropuntia echinocarpa: OK 315s id=cylindropuntia_echinocarpa
05:21:00 batch 06: INCOMPLETE 22/24 (re-run to retry gaps)
05:21:00 batch 08: 24 items, 0 done, 24 todo
05:23:43 batch 08 [1/24] Elaeagnus angustifolia: OK 163s id=elaegnus_angustifolia
05:26:21 batch 08 [2/24] Elaeagnus commutata: OK 158s id=elaeagnus_commutata
05:29:06 batch 08 [3/24] Elaeagnus hortensis: OK 165s id=elaegnus_hortensis
05:31:35 batch 08 [4/24] Elaeagnus orientalis: OK 149s id=elaegnus_orientalis
05:33:41 batch 08 [5/24] Elaeagnus spinosa: OK 126s id=elaegnus_spinosa
05:36:07 batch 08 [6/24] Hippophae rhamnoides: OK 146s id=hippophae_rhamnoides
05:38:33 batch 08 [7/24] Shepherdia argentea: OK 146s id=shepherdia_argentea
05:41:23 batch 08 [8/24] Shepherdia canadensis: OK 170s id=shepherdia_canadensis
05:44:14 batch 08 [9/24] Festuca arundinacea: OK 170s id=festuca_arundinacea
05:46:40 batch 08 [10/24] Lolium perenne: OK 146s id=lolium_perenne
05:48:46 batch 08 [11/24] Burkea africana: OK 126s id=burkea_africana
05:51:27 batch 08 [12/24] Desmodium gangeticum: OK 161s id=desmodium_gangeticum
05:53:54 batch 08 [13/24] Desmodium gyrans: OK 147s id=desmodium_gyrans
05:56:34 batch 08 [14/24] Petalostylis labicheoides: OK 160s id=petalostylis_labicheoides
05:59:25 batch 08 [15/24] Prosopis nigra: OK 171s id=prosopis_nigra
06:01:38 batch 08 [16/24] Shepherdia pulchellum: OK 133s id=shepherdia_pulchellum
06:03:44 batch 08 [17/24] Strychnos melinoniana: OK 126s id=strychnos_melinoniana
06:05:40 batch 08 [18/24] Strychnos usambarensis: OK 116s id=strychnos_usambarensis
06:10:27 batch 08 [19/24] Banisteriopsis argentia: OK 287s id=banisteriopsis_argentia
06:12:33 batch 08 [20/24] Banisteriopsis inebrians: OK 126s id=banisteriopsis_inebrians
06:15:01 batch 08 [21/24] Banisteriopsis lutea: OK 148s id=banisteriopsis_lutea
06:17:31 batch 08 [22/24] Banisteriopsis metallicolor: OK 150s id=banisteriopsis_metallicolor
06:20:14 batch 08 [23/24] Banisteriopsis muricata: OK 163s id=banisteriopsis_muricata
06:22:30 batch 08 [24/24] Cabi pratensis: OK 136s id=cabi_pratensis
06:22:30 batch 08: COMPLETE 24 -> out_08.js
06:22:30 batch 10: 24 items, 0 done, 24 todo
06:25:16 batch 10 [1/24] Passiflora quadrangularis: OK 166s id=passiflora_quadrangularis
06:27:43 batch 10 [2/24] Passiflora ruberosa: OK 147s id=passiflora_ruberosa
06:30:10 batch 10 [3/24] Passiflora subpeltata: OK 147s id=passiflora_subpeltata
06:32:22 batch 10 [4/24] Passiflora warmingii: OK 132s id=passiflora_warmingii
06:35:56 batch 10 [5/24] Calligonum minimum: OK 214s id=calligonum_minimum
06:38:49 batch 10 [6/24] Leptactinia densiflora: OK 173s id=leptactinia_densiflora
06:41:00 batch 10 [7/24] Ophiorrhiza japonica: OK 131s id=ophiorrhiza_japonica
06:43:14 batch 10 [8/24] Pauridiantha callicarpoides: OK 135s id=pauridiantha_callicarpoides
06:45:25 batch 10 [9/24] Pauridiantha dewevrei: OK 131s id=pauridiantha_dewevrei
06:47:55 batch 10 [10/24] Pauridiantha lyalli: OK 150s id=pauridiantha_lyalli
06:50:09 batch 10 [11/24] Pauridiantha viridiflora: OK 134s id=pauridiantha_viridiflora
06:52:14 batch 10 [12/24] Simira klugei: OK 125s id=simira_klugei
06:54:24 batch 10 [13/24] Simira rubra: OK 130s id=simira_rubra
06:57:02 batch 10 [14/24] Borreria verticillata: OK 157s id=borreria_verticillata
06:59:12 batch 10 [15/24] Nauclea diderrichii: OK 131s id=nauclea_diderrichii
07:04:12 batch 10 [16/24] Pauridiantha yalli: OK 300s id=pauridiantha_yalli
07:06:15 batch 10 [17/24] Pavetta lanceolata: OK 123s id=pavetta_lanceolata
07:09:13 batch 10 [18/24] Uncaria attenuata: OK 178s id=uncaria_attenuata
07:14:49 batch 10 [19/24] Uncaria canescens: OK 336s id=uncaria_canescens
07:17:21 batch 10 [20/24] Uncaria orientalis: OK 152s id=uncaria_orientalis
07:19:34 batch 10 [21/24] Araliopsis tabouensis: OK 133s id=araliopsis_tabouensis
07:21:57 batch 10 [22/24] Flindersia laevicarpa: OK 143s id=flindersia_laevicarpa
07:24:48 batch 10 [23/24] Xanthoxylum rhetsa: OK 171s id=xanthoxylum_rhetsa
07:27:22 batch 10 [24/24] Chrysophyllum lacourtianum: OK 154s id=chrysophyllum_lacourtianum
07:27:22 batch 10: COMPLETE 24 -> out_10.js
07:27:22 ALL BATCHES DONE
