01:24:58 START 6 batches, 134 plants, model=qwen/qwen3.8-27b, notink=True, maxtok=8000
05:09:21 batch 07 [3/24] Echinopsis macrogona: OK 145s id=echinopsis_macrogona
05:13:42 batch 07 [4/24] Echinopsis pachanoi: OK 261s id=echinopsis_pachanoi
05:18:00 batch 07 [5/24] Echinopsis spachiana: OK 258s id=echinopsis_spachiana
05:19:57 batch 07 [6/24] Echinopsis tacaquirensis: OK 117s id=echinopsis_tacaquirensis
05:22:50 batch 07 [7/24] Echinopsis terscheckii: OK 173s id=echinopsis_terscheckii
05:25:27 batch 07 [8/24] Echinopsis valida: OK 158s id=echinopsis_valida
05:28:15 batch 07 [9/24] Opuntia acanthocarpa: OK 168s id=opuntia_acanthocarpa
05:31:12 batch 07 [10/24] Opuntia basilaris: OK 177s id=opuntia_basilaris
05:33:58 batch 07 [11/24] Pelecyphora aselliformis: OK 166s id=pelecyphora_aselliformis
05:36:36 batch 07 [12/24] Amsonia tabernaemontana: OK 158s id=amsonia_tabernaemontana
05:39:21 batch 07 [13/24] Aspidosperma exalatum: OK 165s id=aspidosperma_exalatum
05:41:50 batch 07 [14/24] Aspidosperma polyneuron: OK 148s id=aspidosperma_polyneuron
05:44:27 batch 07 [15/24] Apocynum cannabinum: OK 157s id=apocynum_cannabinum
05:46:28 batch 07 [16/24] Ochrosia nakaiana: OK 121s id=ochrosia_nakaiana
05:48:08 batch 07 [17/24] Pleiocarpa mutica: OK 100s id=pleiocarpa_mutica
05:50:34 batch 07 [18/24] Newbouldia laevis: OK 146s id=newbouldia_laevis
05:53:07 batch 07 [19/24] Calycanthus occidentalis: OK 152s id=calycanthus_occidentalis
05:55:52 batch 07 [20/24] Hammada leptoclada: OK 165s id=hammada_leptoclada
05:58:38 batch 07 [21/24] Kochia scoparia: OK 166s id=kochia_scoparia
06:01:10 batch 07 [22/24] Guiera senegalensis: OK 152s id=guiera_senegalensis
06:03:30 batch 07 [23/24] Carex brevicollis: OK 140s id=carex_brevicollis
06:05:56 batch 07 [24/24] Carex parva: OK 146s id=carex_parva
06:05:56 batch 07: COMPLETE 24 -> out_07.js
06:05:56 batch 09: 24 items, 0 done, 24 todo
06:08:31 batch 09 [1/24] Callaeum antifebrile: OK 155s id=callaeum_antifebrile
06:10:38 batch 09 [2/24] Tetrapterys methystica: OK 127s id=tetrapterys_methystica
06:12:48 batch 09 [3/24] Tetrapterys mucronata: OK 130s id=tetrapterys_mucronata
06:14:52 batch 09 [4/24] Gymnacranthera paniculata: OK 124s id=gymnacranthera_paniculata
06:16:38 batch 09 [5/24] Plectocomiopsis geminiflora: OK 106s id=plectocomiopsis_geminiflora
06:19:10 batch 09 [6/24] Meconopsis horridula: OK 152s id=meconopsis_horridula
06:21:52 batch 09 [7/24] Meconopsis napaulensis: OK 162s id=meconopsis_napaulensis
06:24:50 batch 09 [8/24] Meconopsis paniculata: OK 178s id=meconopsis_paniculata
06:30:29 batch 09 [9/24] Meconopsis robusta: OK 339s id=meconopsis_robusta
06:32:49 batch 09 [10/24] Meconopsis rudis: OK 140s id=meconopsis_rudis
06:36:14 batch 09 [11/24] Papaver rhoeas: OK 205s id=papaver_rhoeas
06:39:18 batch 09 [12/24] Papaver paeoniflorum: OK 183s id=papaver_paeoniflorum
06:42:09 batch 09 [13/24] Papaver setigerum: OK 171s id=papaver_setigerum
06:44:38 batch 09 [14/24] Passiflora actinia: OK 149s id=passiflora_actinia
06:47:21 batch 09 [15/24] Passiflora alata: OK 164s id=passiflora_alata
06:49:37 batch 09 [16/24] Passiflora alba: OK 136s id=passiflora_alba
06:51:42 batch 09 [17/24] Passiflora bryonoides: OK 124s id=passiflora_bryonoides
06:54:07 batch 09 [18/24] Passiflora caerulea: OK 145s id=passiflora_caerulea
06:56:27 batch 09 [19/24] Passiflora capsularis: OK 140s id=passiflora_capsularis
06:58:30 batch 09 [20/24] Passiflora decaisneana: OK 123s id=passiflora_decaisneana
07:01:16 batch 09 [21/24] Passiflora edulis: OK 166s id=passiflora_edulis
07:03:38 batch 09 [22/24] Passiflora eichleriana: OK 142s id=passiflora_eichleriana
07:06:09 batch 09 [23/24] Passiflora foetida: OK 151s id=passiflora_foetida
07:08:45 batch 09 [24/24] Passiflora incarnata: OK 157s id=passiflora_incarnata
07:08:45 batch 09: COMPLETE 24 -> out_09.js
07:08:45 batch 11: 14 items, 0 done, 14 todo
07:11:24 batch 11 [1/14] Ailanthus malabarica: OK 158s id=ailanthus_malabarica
07:13:20 batch 11 [2/14] Perriera madagascariensis: OK 116s id=perriera_madagascariensis
07:15:12 batch 11 [3/14] Picrasma ailanthoides: OK 112s id=picrasma_ailanthoides
